App;Title;Begin;End;Activity;Case
Microsoft Edge;Utrecht University - Sign in - Work - Microsoft​ Edge;6-3-2023 08:32;6-3-2023 08:32;Organizing practical aspects for the group;BPM&A group
Microsoft Edge;Google - Work - Microsoft​ Edge;6-3-2023 08:32;6-3-2023 08:32;Organizing practical aspects for the group;BPM&A group
Microsoft Edge;Google Agenda - Planning start op maandag, 6 maart 2023 - Work - Microsoft​ Edge;6-3-2023 08:32;6-3-2023 08:33;Organizing practical aspects for the group;BPM&A group
Microsoft Edge;Google Agenda - Afspraakgegevens - Work - Microsoft​ Edge;6-3-2023 08:33;6-3-2023 08:33;Organizing practical aspects for the group;BPM&A group
Microsoft Edge;Google Agenda - Planning start op maandag, 6 maart 2023 - Work - Microsoft​ Edge;6-3-2023 08:33;6-3-2023 08:33;Organizing practical aspects for the group;BPM&A group
Microsoft Edge;Google Agenda - Agenda-instellingen voor BPMA Group - Work - Microsoft​ Edge;6-3-2023 08:33;6-3-2023 08:34;Organizing practical aspects for the group;BPM&A group
Microsoft Edge;Untitled and 1 more page - Work - Microsoft​ Edge;6-3-2023 08:34;6-3-2023 08:34;Organizing practical aspects for the group;BPM&A group
Microsoft Edge;Je agenda met iemand delen - Google Agenda Help and 1 more page - Work - Microsoft​ Edge;6-3-2023 08:34;6-3-2023 08:34;Organizing practical aspects for the group;BPM&A group
Windows Explorer;NO_TITLE;6-3-2023 08:34;6-3-2023 08:34;Organizing practical aspects for the group;BPM&A group
Microsoft Outlook;Opening - Outlook;6-3-2023 08:34;6-3-2023 08:34;Organizing practical aspects for the group;BPM&A group
Microsoft Outlook;Postvak IN - i.m.beerepoot@uu.nl - Outlook;6-3-2023 08:34;6-3-2023 08:35;Organizing practical aspects for the group;BPM&A group
Microsoft Outlook;Agenda - i.m.beerepoot@uu.nl - Outlook;6-3-2023 08:35;6-3-2023 08:35;Organizing practical aspects for the group;BPM&A group
Microsoft Outlook;Select Name: Offline Global Address List;6-3-2023 08:35;6-3-2023 08:35;Organizing practical aspects for the group;BPM&A group
Microsoft Outlook;NO_TITLE;6-3-2023 08:35;6-3-2023 08:35;Organizing practical aspects for the group;BPM&A group
Microsoft Outlook;New Internet Calendar Subscription;6-3-2023 08:35;6-3-2023 08:35;Organizing practical aspects for the group;BPM&A group
Microsoft Outlook;Agenda - i.m.beerepoot@uu.nl - Outlook;6-3-2023 08:35;6-3-2023 08:35;Organizing practical aspects for the group;BPM&A group
Microsoft Edge;Je agenda met iemand delen - Google Agenda Help and 1 more page - Work - Microsoft​ Edge;6-3-2023 08:35;6-3-2023 08:35;Organizing practical aspects for the group;BPM&A group
Microsoft Edge;Google Agenda - Agenda-instellingen voor BPMA Group and 1 more page - Work - Microsoft​ Edge;6-3-2023 08:35;6-3-2023 08:36;Organizing practical aspects for the group;BPM&A group
Microsoft Outlook;Postvak IN - i.m.beerepoot@uu.nl - Outlook;6-3-2023 08:36;6-3-2023 08:36;Organizing practical aspects for the group;BPM&A group
Google Chrome;Untitled - Google Chrome;6-3-2023 08:36;6-3-2023 08:36;Organizing practical aspects for the group;BPM&A group
Google Chrome;Google Calendar - Week of 6 March 2023 - Google Chrome;6-3-2023 08:36;6-3-2023 08:36;Organizing practical aspects for the group;BPM&A group
Microsoft Edge;Google Agenda - Agenda-instellingen voor BPMA Group and 1 more page - Work - Microsoft​ Edge;6-3-2023 08:36;6-3-2023 08:36;Organizing practical aspects for the group;BPM&A group
Microsoft Edge;Google Agenda - Agenda-instellingen voor BPMA Group - Work - Microsoft​ Edge;6-3-2023 08:36;6-3-2023 08:37;Organizing practical aspects for the group;BPM&A group
Microsoft Outlook;Postvak IN - i.m.beerepoot@uu.nl - Outlook;6-3-2023 08:37;6-3-2023 08:37;Organizing practical aspects for the group;BPM&A group
Microsoft Outlook;Agenda - i.m.beerepoot@uu.nl - Outlook;6-3-2023 08:37;6-3-2023 08:37;Organizing practical aspects for the group;BPM&A group
Google Chrome;Google Calendar - Week of 6 March 2023 - Google Chrome;6-3-2023 08:37;6-3-2023 08:38;Organizing practical aspects for the group;BPM&A group
Microsoft Edge;Google Agenda - Agenda-instellingen voor BPMA Group - Work - Microsoft​ Edge;6-3-2023 08:38;6-3-2023 08:38;Organizing practical aspects for the group;BPM&A group
Microsoft Outlook;Agenda - i.m.beerepoot@uu.nl - Outlook;6-3-2023 08:38;6-3-2023 08:38;Organizing practical aspects for the group;BPM&A group
Microsoft Outlook;NO_TITLE;6-3-2023 08:38;6-3-2023 08:38;Organizing practical aspects for the group;BPM&A group
Microsoft Outlook;Open a Shared Calendar;6-3-2023 08:38;6-3-2023 08:38;Organizing practical aspects for the group;BPM&A group
Microsoft Outlook;Check Names;6-3-2023 08:38;6-3-2023 08:38;Organizing practical aspects for the group;BPM&A group
Microsoft Outlook;Open a Shared Calendar;6-3-2023 08:38;6-3-2023 08:38;Organizing practical aspects for the group;BPM&A group
Microsoft Outlook;NO_TITLE;6-3-2023 08:38;6-3-2023 08:38;Organizing practical aspects for the group;BPM&A group
Microsoft Outlook;Agenda - i.m.beerepoot@uu.nl - Outlook;6-3-2023 08:38;6-3-2023 08:38;Organizing practical aspects for the group;BPM&A group
Microsoft Edge;New tab and 1 more page - Work - Microsoft​ Edge;6-3-2023 08:38;6-3-2023 08:38;Organizing practical aspects for the group;BPM&A group
Microsoft Edge;import google calendar in outlook - Ecosia - Web and 1 more page - Work - Microsoft​ Edge;6-3-2023 08:38;6-3-2023 08:38;Organizing practical aspects for the group;BPM&A group
Microsoft Edge;Import Google Calendar to Outlook - Microsoft Support and 1 more page - Work - Microsoft​ Edge;6-3-2023 08:38;6-3-2023 08:39;Organizing practical aspects for the group;BPM&A group
Microsoft Edge;See your Google Calendar in Outlook - Microsoft Support and 1 more page - Work - Microsoft​ Edge;6-3-2023 08:39;6-3-2023 08:39;Organizing practical aspects for the group;BPM&A group
Microsoft Outlook;Agenda - i.m.beerepoot@uu.nl - Outlook;6-3-2023 08:39;6-3-2023 08:39;Organizing practical aspects for the group;BPM&A group
Microsoft Outlook;NO_TITLE;6-3-2023 08:39;6-3-2023 08:39;Organizing practical aspects for the group;BPM&A group
Microsoft Outlook;Account Settings;6-3-2023 08:39;6-3-2023 08:39;Organizing practical aspects for the group;BPM&A group
Microsoft Outlook;Add Account;6-3-2023 08:39;6-3-2023 08:40;Organizing practical aspects for the group;BPM&A group
Microsoft Outlook;Account Settings;6-3-2023 08:40;6-3-2023 08:40;Organizing practical aspects for the group;BPM&A group
Microsoft Outlook;Add Account;6-3-2023 08:40;6-3-2023 08:40;Organizing practical aspects for the group;BPM&A group
Microsoft Outlook;Account Settings;6-3-2023 08:40;6-3-2023 08:40;Organizing practical aspects for the group;BPM&A group
Microsoft Outlook;New Internet Calendar Subscription;6-3-2023 08:40;6-3-2023 08:40;Organizing practical aspects for the group;BPM&A group
Microsoft Outlook;Account Settings;6-3-2023 08:40;6-3-2023 08:40;Organizing practical aspects for the group;BPM&A group
Microsoft Outlook;Microsoft Outlook;6-3-2023 08:40;6-3-2023 08:40;Organizing practical aspects for the group;BPM&A group
Microsoft Outlook;Account Settings;6-3-2023 08:40;6-3-2023 08:40;Organizing practical aspects for the group;BPM&A group
Microsoft Edge;Google Agenda - Agenda-instellingen voor BPMA Group and 1 more page - Work - Microsoft​ Edge;6-3-2023 08:40;6-3-2023 08:40;Organizing practical aspects for the group;BPM&A group
Microsoft Edge;Google Agenda - Planning start op maandag, 6 maart 2023 and 1 more page - Work - Microsoft​ Edge;6-3-2023 08:40;6-3-2023 08:41;Organizing practical aspects for the group;BPM&A group
Microsoft Edge;Google Agenda - Agenda-instellingen voor BPMA Group and 1 more page - Work - Microsoft​ Edge;6-3-2023 08:41;6-3-2023 08:41;Organizing practical aspects for the group;BPM&A group
Microsoft Edge;See your Google Calendar in Outlook - Microsoft Support and 1 more page - Work - Microsoft​ Edge;6-3-2023 08:41;6-3-2023 08:41;Organizing practical aspects for the group;BPM&A group
Microsoft Edge;Google Agenda - Agenda-instellingen voor BPMA Group and 1 more page - Work - Microsoft​ Edge;6-3-2023 08:41;6-3-2023 08:41;Organizing practical aspects for the group;BPM&A group
Microsoft Edge;See your Google Calendar in Outlook - Microsoft Support and 1 more page - Work - Microsoft​ Edge;6-3-2023 08:41;6-3-2023 08:41;Organizing practical aspects for the group;BPM&A group
Microsoft Edge;Google Agenda - Agenda-instellingen voor BPMA Group and 1 more page - Work - Microsoft​ Edge;6-3-2023 08:41;6-3-2023 08:42;Organizing practical aspects for the group;BPM&A group
Microsoft Outlook;New Internet Calendar Subscription;6-3-2023 08:42;6-3-2023 08:42;Organizing practical aspects for the group;BPM&A group
Microsoft Outlook;Microsoft Outlook;6-3-2023 08:42;6-3-2023 08:42;Organizing practical aspects for the group;BPM&A group
Microsoft Edge;Google Agenda - Agenda-instellingen voor BPMA Group and 1 more page - Work - Microsoft​ Edge;6-3-2023 08:42;6-3-2023 08:42;Organizing practical aspects for the group;BPM&A group
Microsoft Outlook;New Internet Calendar Subscription;6-3-2023 08:42;6-3-2023 08:42;Organizing practical aspects for the group;BPM&A group
Microsoft Outlook;Microsoft Outlook;6-3-2023 08:42;6-3-2023 08:42;Organizing practical aspects for the group;BPM&A group
Microsoft Outlook;Account Settings;6-3-2023 08:42;6-3-2023 08:42;Organizing practical aspects for the group;BPM&A group
Microsoft Edge;Google Agenda - Agenda-instellingen voor BPMA Group and 1 more page - Work - Microsoft​ Edge;6-3-2023 08:42;6-3-2023 08:42;Organizing practical aspects for the group;BPM&A group
Microsoft Outlook;New Internet Calendar Subscription;6-3-2023 08:42;6-3-2023 08:42;Organizing practical aspects for the group;BPM&A group
Microsoft Outlook;Account Settings;6-3-2023 08:42;6-3-2023 08:42;Organizing practical aspects for the group;BPM&A group
Microsoft Edge;Google Agenda - Agenda-instellingen voor BPMA Group and 1 more page - Work - Microsoft​ Edge;6-3-2023 08:42;6-3-2023 08:42;Organizing practical aspects for the group;BPM&A group
Microsoft Outlook;New Internet Calendar Subscription;6-3-2023 08:42;6-3-2023 08:42;Organizing practical aspects for the group;BPM&A group
Microsoft Outlook;Microsoft Outlook;6-3-2023 08:42;6-3-2023 08:43;Organizing practical aspects for the group;BPM&A group
Microsoft Outlook;New Internet Calendar Subscription;6-3-2023 08:43;6-3-2023 08:43;Organizing practical aspects for the group;BPM&A group
Microsoft Outlook;Account Settings;6-3-2023 08:43;6-3-2023 08:43;Organizing practical aspects for the group;BPM&A group
Microsoft Edge;Google Agenda - Agenda-instellingen voor BPMA Group and 1 more page - Work - Microsoft​ Edge;6-3-2023 08:43;6-3-2023 08:43;Organizing practical aspects for the group;BPM&A group
Microsoft Outlook;New Internet Calendar Subscription;6-3-2023 08:43;6-3-2023 08:43;Organizing practical aspects for the group;BPM&A group
Microsoft Outlook;Account Settings;6-3-2023 08:43;6-3-2023 08:43;Organizing practical aspects for the group;BPM&A group
Microsoft Outlook;Microsoft Outlook;6-3-2023 08:43;6-3-2023 08:43;Organizing practical aspects for the group;BPM&A group
Microsoft Edge;New tab and 2 more pages - Work - Microsoft​ Edge;6-3-2023 08:43;6-3-2023 08:43;Organizing practical aspects for the group;BPM&A group
Microsoft Edge;cannot verify or add the internet calendar in outlook - Ecosia - Web and 2 more pages - Work - Microsoft​ Edge;6-3-2023 08:43;6-3-2023 08:43;Organizing practical aspects for the group;BPM&A group
Microsoft Edge;cannot verify or add the internet calendar in outlook - Ecosia - Web and 3 more pages - Work - Microsoft​ Edge;6-3-2023 08:43;6-3-2023 08:44;Organizing practical aspects for the group;BPM&A group
Microsoft Edge;cannot verify or add the internet calendar in outlook - Ecosia - Web and 4 more pages - Work - Microsoft​ Edge;6-3-2023 08:44;6-3-2023 08:44;Organizing practical aspects for the group;BPM&A group
Microsoft Edge;Cannot add an Internet calendar - Outlook | Microsoft Learn and 4 more pages - Work - Microsoft​ Edge;6-3-2023 08:44;6-3-2023 08:44;Organizing practical aspects for the group;BPM&A group
Microsoft Outlook;Account Settings;6-3-2023 08:44;6-3-2023 08:44;Organizing practical aspects for the group;BPM&A group
Microsoft Outlook;Agenda - i.m.beerepoot@uu.nl - Outlook;6-3-2023 08:44;6-3-2023 08:44;Organizing practical aspects for the group;BPM&A group
Microsoft Edge;Google Agenda - Agenda-instellingen voor BPMA Group and 4 more pages - Work - Microsoft​ Edge;6-3-2023 08:44;6-3-2023 08:44;Organizing practical aspects for the group;BPM&A group
Google Chrome;Google Calendar - Week of 6 March 2023 - Google Chrome;6-3-2023 08:44;6-3-2023 08:44;Organizing practical aspects for the group;BPM&A group
Google Chrome;New Tab - Google Chrome;6-3-2023 08:44;6-3-2023 08:44;Organizing practical aspects for the group;BPM&A group
Google Chrome;Aanmelden bij uw account - Google Chrome;6-3-2023 08:44;6-3-2023 08:44;Organizing practical aspects for the group;BPM&A group
Google Chrome;Utrecht University - Sign in - Google Chrome;6-3-2023 08:44;6-3-2023 08:45;Organizing practical aspects for the group;BPM&A group
Google Chrome;Home - OneDrive - Google Chrome;6-3-2023 08:45;6-3-2023 08:45;Organizing practical aspects for the group;BPM&A group
Google Chrome;Working... - Google Chrome;6-3-2023 08:45;6-3-2023 08:45;Organizing practical aspects for the group;BPM&A group
Google Chrome;E-mail - Beerepoot, I.M. (Iris) - Outlook - Google Chrome;6-3-2023 08:45;6-3-2023 08:46;Organizing practical aspects for the group;BPM&A group
Google Chrome;Agenda - Beerepoot, I.M. (Iris) - Outlook - Google Chrome;6-3-2023 08:46;6-3-2023 08:47;Organizing practical aspects for the group;BPM&A group
Google Chrome;Google Calendar - Week of 6 March 2023 - Google Chrome;6-3-2023 08:47;6-3-2023 08:47;Organizing practical aspects for the group;BPM&A group
Microsoft Edge;Google Agenda - Agenda-instellingen voor BPMA Group and 4 more pages - Work - Microsoft​ Edge;6-3-2023 08:47;6-3-2023 08:47;Organizing practical aspects for the group;BPM&A group
Microsoft Edge;See your Google Calendar in Outlook - Microsoft Support and 3 more pages - Work - Microsoft​ Edge;6-3-2023 08:47;6-3-2023 08:47;Organizing practical aspects for the group;BPM&A group
Microsoft Outlook;Agenda - i.m.beerepoot@uu.nl - Outlook;6-3-2023 08:47;6-3-2023 08:47;Organizing practical aspects for the group;BPM&A group
