Begin;End;Activity;Case;Case type;Duration
6-3-2023 08:32;6-3-2023 08:53;Organizing practical aspects for the group;BPM&A group;Organizational unit;0 days 00:21:21
6-3-2023 08:54;6-3-2023 08:56;Discussing possible assignments with students;***name56***;Master student;0 days 00:01:55
6-3-2023 08:58;6-3-2023 09:04;Conducting research;Active Window Tracking;Research project;0 days 00:05:43
6-3-2023 09:08;6-3-2023 09:11;Conducting research;Active Window Tracking;Research project;0 days 00:03:06
6-3-2023 09:11;6-3-2023 09:20;Conducting research;Active Window Tracking;Research project;0 days 00:09:11
6-3-2023 09:32;6-3-2023 09:54;Conducting research;Active Window Tracking;Research project;0 days 00:22:18
6-3-2023 09:54;6-3-2023 10:05;Participating in group meetings;AI Lab for Public Services;Organizational unit;0 days 00:10:56
6-3-2023 10:05;6-3-2023 10:05;Organizing practical aspects for the group;BPM&A group;Organizational unit;0 days 00:00:39
6-3-2023 10:06;6-3-2023 10:08;Organizing practical aspects of events;Girls Club WIN;Outreach program;0 days 00:02:37
6-3-2023 10:09;6-3-2023 10:09;Following specific courses;Dagstuhl seminar on Human in the Process Mines;Seminar;0 days 00:00:03
6-3-2023 10:09;6-3-2023 10:14;Conducting research;Active Window Tracking;Research project;0 days 00:05:09
6-3-2023 10:14;6-3-2023 10:17;Following specific courses;Dagstuhl seminar on Human in the Process Mines;Seminar;0 days 00:03:19
6-3-2023 10:17;6-3-2023 10:19;Following specific courses;Dagstuhl seminar on Human in the Process Mines;Seminar;0 days 00:01:42
6-3-2023 10:19;6-3-2023 10:19;Following specific courses;Dagstuhl seminar on Human in the Process Mines;Seminar;0 days 00:00:18
6-3-2023 10:20;6-3-2023 10:20;Conducting research;Active Window Tracking;Research project;0 days 00:00:24
6-3-2023 10:20;6-3-2023 10:20;Conducting research;Active Window Tracking;Research project;0 days 00:00:06
6-3-2023 10:20;6-3-2023 10:21;Following specific courses;Dagstuhl seminar on Human in the Process Mines;Seminar;0 days 00:00:21
6-3-2023 10:22;6-3-2023 10:25;Conducting research;Active Window Tracking;Research project;0 days 00:03:15
6-3-2023 10:26;6-3-2023 10:40;Organizing practical aspects for the group;BPM&A group;Organizational unit;0 days 00:14:41
6-3-2023 10:42;6-3-2023 10:42;Organizing practical aspects for the group;BPM&A group;Organizational unit;0 days 00:00:24
6-3-2023 10:49;6-3-2023 10:49;Organizing practical aspects for the group;BPM&A group;Organizational unit;0 days 00:00:03
6-3-2023 10:49;6-3-2023 10:49;Organizing practical aspects for the group;BPM&A group;Organizational unit;0 days 00:00:15
6-3-2023 10:50;6-3-2023 10:54;Organizing practical aspects for the group;BPM&A group;Organizational unit;0 days 00:04:48
6-3-2023 10:55;6-3-2023 10:56;Organizing practical aspects for the group;BPM&A group;Organizational unit;0 days 00:01:25
6-3-2023 11:02;6-3-2023 11:03;Organizing practical aspects for the group;BPM&A group;Organizational unit;0 days 00:01:31
6-3-2023 11:55;6-3-2023 11:56;Organizing practical aspects for the group;BPM&A group;Organizational unit;0 days 00:01:10
6-3-2023 12:14;6-3-2023 12:14;Organizing practical aspects for the group;BPM&A group;Organizational unit;0 days 00:00:06
6-3-2023 12:14;6-3-2023 12:14;Organizing practical aspects for the group;BPM&A group;Organizational unit;0 days 00:00:06
6-3-2023 12:14;6-3-2023 12:16;Organizing practical aspects for the group;BPM&A group;Organizational unit;0 days 00:01:30
6-3-2023 12:16;6-3-2023 12:17;Organizing practical aspects for the group;BPM&A group;Organizational unit;0 days 00:01:03
6-3-2023 12:20;6-3-2023 12:24;Organizing practical aspects for the group;BPM&A group;Organizational unit;0 days 00:04:21
6-3-2023 12:27;6-3-2023 12:29;Organizing practical aspects for the group;BPM&A group;Organizational unit;0 days 00:01:15
6-3-2023 12:29;6-3-2023 12:30;Organizing practical aspects for the group;BPM&A group;Organizational unit;0 days 00:01:03
6-3-2023 12:36;6-3-2023 12:37;Organizing practical aspects for the group;BPM&A group;Organizational unit;0 days 00:01:00
6-3-2023 12:41;6-3-2023 12:42;Organizing practical aspects for the group;BPM&A group;Organizational unit;0 days 00:01:00
6-3-2023 12:46;6-3-2023 12:47;Organizing practical aspects for the group;BPM&A group;Organizational unit;0 days 00:01:00
6-3-2023 12:49;6-3-2023 12:50;Organizing practical aspects for the group;BPM&A group;Organizational unit;0 days 00:01:34
6-3-2023 12:51;6-3-2023 12:53;Organizing practical aspects for the group;BPM&A group;Organizational unit;0 days 00:01:24
