Begin,End,Activity,Case,Duration
2023-03-06 08:32:30,2023-03-06 08:53:51,Organizing practical aspects for the group,BPM&A group,0 days 00:21:21
2023-03-06 08:54:39,2023-03-06 08:56:34,Discussing possible assignments with students,***name56***,0 days 00:01:55
2023-03-06 08:58:34,2023-03-06 09:04:17,Conducting research,Active Window Tracking,0 days 00:05:43
2023-03-06 09:08:21,2023-03-06 09:11:27,Conducting research,Active Window Tracking,0 days 00:03:06
2023-03-06 09:11:48,2023-03-06 09:20:59,Conducting research,Active Window Tracking,0 days 00:09:11
2023-03-06 09:32:04,2023-03-06 09:54:22,Conducting research,Active Window Tracking,0 days 00:22:18
2023-03-06 09:54:22,2023-03-06 10:05:18,Participating in group meetings,AI Lab for Public Services,0 days 00:10:56
2023-03-06 10:05:18,2023-03-06 10:05:57,Organizing practical aspects for the group,BPM&A group,0 days 00:00:39
2023-03-06 10:06:21,2023-03-06 10:08:58,Organizing practical aspects of events,Girls Club WIN,0 days 00:02:37
2023-03-06 10:09:04,2023-03-06 10:09:07,Following specific courses,Dagstuhl seminar on Human in the Process Mines,0 days 00:00:03
2023-03-06 10:09:07,2023-03-06 10:14:16,Conducting research,Active Window Tracking,0 days 00:05:09
2023-03-06 10:14:16,2023-03-06 10:17:35,Following specific courses,Dagstuhl seminar on Human in the Process Mines,0 days 00:03:19
2023-03-06 10:17:44,2023-03-06 10:19:26,Following specific courses,Dagstuhl seminar on Human in the Process Mines,0 days 00:01:42
2023-03-06 10:19:29,2023-03-06 10:19:47,Following specific courses,Dagstuhl seminar on Human in the Process Mines,0 days 00:00:18
2023-03-06 10:20:02,2023-03-06 10:20:26,Conducting research,Active Window Tracking,0 days 00:00:24
2023-03-06 10:20:32,2023-03-06 10:20:38,Conducting research,Active Window Tracking,0 days 00:00:06
2023-03-06 10:20:59,2023-03-06 10:21:20,Following specific courses,Dagstuhl seminar on Human in the Process Mines,0 days 00:00:21
2023-03-06 10:22:18,2023-03-06 10:25:33,Conducting research,Active Window Tracking,0 days 00:03:15
2023-03-06 10:26:06,2023-03-06 10:40:47,Organizing practical aspects for the group,BPM&A group,0 days 00:14:41
2023-03-06 10:42:27,2023-03-06 10:42:51,Organizing practical aspects for the group,BPM&A group,0 days 00:00:24
